,valid_accuracy
1,34.44
2,41.88
3,58.88
4,68.45
5,68.36
6,71.87
7,72.82
8,69.57
9,73.82
10,79.42
11,82.44
12,80.14
13,82.12
14,83.22
15,77.23
16,83.42
17,77.03
18,75.23
19,83.04
20,85.58
21,81.99
22,85.58
23,83.22
24,84.94
25,72.09
26,85.03
27,86.72
28,81.25
29,79.42
30,85.05
31,86.09
32,77.94
33,86.1
34,81.37
35,63.77
36,86.52
37,81.24
38,86.93
39,83.7
40,75.22
41,86.85
42,86.58
43,79.47
44,81.97
45,81.28
46,87.14
47,87.17
48,87.6
49,83.12
50,79.07
51,87.27
52,83.58
53,87.22
54,70.47
55,88.04
56,84.39
57,87.22
58,86.48
59,85.59
60,85.61
61,88.52
62,83.6
63,87.92
64,88.26
65,75.01
66,88.72
67,87.96
68,83.34
69,85.34
70,88.43
71,88.46
72,88.72
73,85.44
74,88.22
75,85.95
76,76.61
77,88.69
78,88.66
79,88.64
80,87.95
81,81.13
82,89.01
83,89.05
84,88.36
85,88.25
86,88.46
87,88.76
88,89.23
89,88.7
90,84.54
91,88.22
92,89.11
93,73.81
94,85.24
95,88.8
96,89.51
97,86.67
98,88.73
99,88.3
100,86.33
101,84.53
102,89.12
103,88.11
104,89.67
105,89.24
106,87.98
107,87.63
108,88.82
109,85.55
110,86.43
111,88.94
112,89.06
113,87.84
114,88.81
115,88.9
116,89.53
117,88.94
118,88.55
119,84.31
120,88.62
121,87.89
122,88.34
123,89.2
124,89.63
125,84.89
126,88.41
127,89.52
128,89.41
129,87.23
130,88.81
131,89.27
132,90.1
133,89.31
134,89.84
135,88.89
136,89.79
137,89.52
138,89.55
139,89.81
140,89.12
141,90.19
142,89.74
143,89.88
144,90.0
145,86.92
146,89.63
147,89.3
148,89.48
149,87.13
150,89.21
151,90.18
152,90.28
153,90.39
154,90.53
155,90.34
156,90.45
157,90.39
158,90.49
159,90.47
160,90.56
161,90.31
162,90.69
163,90.72
164,90.74
165,90.42
166,90.6
167,90.88
168,90.65
169,90.34
170,90.68
171,90.36
172,90.56
173,90.55
174,90.71
175,90.75
176,90.61
177,90.58
178,90.33
179,90.41
180,90.66
181,90.73
182,90.21
183,90.64
184,90.92
185,90.37
186,90.55
187,90.54
188,90.85
189,90.69
190,90.54
191,90.67
192,90.7
193,90.96
194,90.66
195,90.81
196,90.52
197,90.51
198,90.46
199,90.92
200,90.98
201,90.74
202,90.58
203,90.73
204,90.79
205,90.97
206,91.02
207,90.66
208,90.67
209,90.77
210,90.96
211,91.01
212,90.66
213,90.65
214,90.67
215,90.53
216,90.85
217,90.74
218,90.6
219,90.73
220,90.53
221,90.42
222,90.6
223,90.65
224,90.73
225,90.58
226,90.7
227,90.62
228,90.82
229,90.65
230,90.71
231,90.69
232,90.29
233,90.44
234,91.14
235,90.75
236,90.68
237,90.94
238,90.62
239,90.56
240,90.57
241,90.81
242,90.51
243,90.69
244,90.81
245,90.97
246,90.53
247,90.74
248,90.51
249,90.46
250,90.68
251,90.8
252,90.69
253,90.42
254,90.66
255,90.74
256,91.13
257,90.66
258,90.8
259,90.63
260,90.99
261,90.61
262,90.73
263,90.91
264,90.75
265,90.76
266,90.41
267,90.78
268,90.61
269,90.65
270,90.81
271,90.55
272,90.42
273,90.58
274,90.84
275,90.63
276,90.39
277,90.49
278,90.71
279,90.62
280,90.63
281,91.07
282,90.96
283,90.75
284,90.96
285,90.55
286,90.67
287,90.73
288,90.78
289,90.83
290,90.61
291,90.83
292,90.83
293,90.39
294,90.77
295,90.59
296,90.7
297,90.69
298,90.57
299,90.38
300,90.77
