,valid_loss
1,1.3496896
2,1.1465949
3,1.1086088
4,0.98792225
5,0.97327137
6,0.9568768
7,0.8804516
8,0.8873034
9,0.881531
10,0.87928605
11,0.7988285
12,0.82677186
13,0.85715836
14,0.8126087
15,0.7715804
16,0.7861676
17,0.7998872
18,0.77055544
19,0.7832871
20,0.7607655
21,0.7920631
22,0.73508227
23,0.7609955
24,0.73981243
25,0.7347307
26,0.7186017
27,0.7520112
28,0.7486246
29,0.735346
30,0.704265
31,0.7280472
32,0.7039747
33,0.7363114
34,0.74800295
35,0.7044334
36,0.7330778
37,0.6935286
38,0.6966133
39,0.6928475
40,0.7229814
41,0.7061419
42,0.743352
43,0.6852951
44,0.69511694
45,0.71260154
46,0.7083097
47,0.7023072
48,0.68712264
49,0.6838115
50,0.7003715
51,0.6945791
52,0.69981056
53,0.6909634
54,0.7153294
55,0.6901158
56,0.6977724
57,0.7484316
58,0.69444054
59,0.69383675
60,0.7196121
61,0.64693856
62,0.63956565
63,0.6471946
64,0.6378813
65,0.6348873
66,0.63289535
67,0.639096
68,0.6302274
69,0.634545
70,0.61787236
71,0.6255919
72,0.63129085
73,0.61626345
74,0.62531614
75,0.6160306
76,0.62306464
77,0.6157012
78,0.6126068
79,0.6194532
80,0.6084389
81,0.6322601
82,0.6388414
83,0.6145804
84,0.6226958
85,0.6336373
86,0.61693585
87,0.60903716
88,0.6295675
89,0.62645334
90,0.6141853
91,0.6288151
92,0.6125863
93,0.6220149
94,0.6216348
95,0.61260134
96,0.61896086
97,0.6148168
98,0.6357871
99,0.6275942
100,0.62651724
101,0.6276286
102,0.6118756
103,0.63174003
104,0.6227746
105,0.6208053
106,0.6048477
107,0.61752886
108,0.61282414
109,0.6210258
110,0.6075789
111,0.62349725
112,0.6164887
113,0.617514
114,0.6210249
115,0.61269605
116,0.625596
117,0.6287734
118,0.62835586
119,0.6232785
120,0.62321246
121,0.61833143
122,0.61885196
123,0.6035569
124,0.60631967
125,0.62170637
126,0.60818666
127,0.6155781
128,0.604572
129,0.60187715
130,0.5976693
131,0.60138243
132,0.6282862
133,0.6275344
134,0.6151961
135,0.6149017
136,0.6086857
137,0.6150031
138,0.6268827
139,0.6175767
140,0.6132093
141,0.6247651
142,0.6146274
143,0.6203902
144,0.6097316
145,0.61125344
146,0.61523443
147,0.6239515
148,0.6155703
149,0.60619634
150,0.6091706
