,valid_loss
1,1.7972425
2,1.6091927
3,1.6381116
4,1.3303063
5,1.3435434
6,1.2635192
7,1.2606269
8,1.1807017
9,1.460405
10,1.1725088
11,0.9813201
12,1.0841082
13,1.0137185
14,1.0641587
15,1.002055
16,0.91523236
17,0.8422205
18,1.0661613
19,0.9092368
20,0.84421784
21,0.832673
22,0.7681025
23,0.8084306
24,0.78269833
25,1.1030672
26,0.736904
27,0.7066128
28,0.7024104
29,0.70190364
30,0.8139062
31,0.69295913
32,0.7270386
33,0.71212876
34,0.72820264
35,0.73198676
36,0.74529827
37,0.7803694
38,0.701003
39,0.68405783
40,0.7189351
41,0.7027034
42,0.8463823
43,0.6723202
44,0.69571674
45,0.6439425
46,0.69798166
47,0.66626287
48,0.7377471
49,0.8328894
50,0.64991146
51,0.65302336
52,0.65679693
53,0.686533
54,0.72612154
55,0.6440821
56,0.63322634
57,0.6551044
58,0.6589591
59,0.64322805
60,0.6359849
61,0.594299
62,0.5785754
63,0.5829315
64,0.5775668
65,0.5758696
66,0.5783801
67,0.5873533
68,0.57298833
69,0.5845602
70,0.5877893
71,0.58031124
72,0.5862636
73,0.58158886
74,0.58644587
75,0.58418894
76,0.5935372
77,0.582581
78,0.5859961
79,0.5805278
80,0.5808789
81,0.5782625
82,0.5762701
83,0.5852821
84,0.5782329
85,0.56309825
86,0.58591956
87,0.5804934
88,0.58361965
89,0.5645804
90,0.5820545
91,0.58634377
92,0.57887834
93,0.57829064
94,0.5839232
95,0.5684355
96,0.5863115
97,0.57981294
98,0.5893899
99,0.58463264
100,0.57222587
101,0.56851715
102,0.58776593
103,0.5812554
104,0.57496697
105,0.57408416
106,0.57931226
107,0.5871128
108,0.5771485
109,0.5801668
110,0.5804756
111,0.57267284
112,0.57643837
113,0.56749636
114,0.5810773
115,0.57482946
116,0.5739272
117,0.5795648
118,0.5889733
119,0.58636194
120,0.5769547
121,0.5750932
122,0.5947398
123,0.57636636
124,0.57123303
125,0.57844305
126,0.57132983
127,0.574946
128,0.5787551
129,0.5845814
130,0.57186997
131,0.57155985
132,0.56194496
133,0.5743867
134,0.5754711
135,0.56994176
136,0.5714652
137,0.57437605
138,0.5756789
139,0.5708176
140,0.5752815
141,0.57461095
142,0.5761836
143,0.5850583
144,0.5810308
145,0.5692017
146,0.57229465
147,0.5722351
148,0.56900036
149,0.57277346
150,0.58774537
