,valid_loss
1,1.4925876
2,1.2010298
3,1.0840905
4,1.0135125
5,0.906169
6,0.89115846
7,0.8216116
8,0.8288894
9,0.82203114
10,0.8318918
11,0.8103495
12,0.7436944
13,0.7163922
14,0.7304295
15,0.75793386
16,0.7024452
17,0.72661716
18,0.71849096
19,0.68648344
20,0.69731444
21,0.70731854
22,0.68462276
23,0.6796375
24,0.6894967
25,0.6930032
26,0.6728142
27,0.6761332
28,0.6827623
29,0.6834409
30,0.6908786
31,0.67432505
32,0.69591635
33,0.6666979
34,0.70230156
35,0.6583532
36,0.6576735
37,0.6547869
38,0.67505056
39,0.6769898
40,0.65650433
41,0.6427891
42,0.6662388
43,0.66137266
44,0.627985
45,0.67091864
46,0.65828574
47,0.6480386
48,0.6498769
49,0.6584332
50,0.670739
51,0.63113964
52,0.67881393
53,0.6859178
54,0.6713832
55,0.66615283
56,0.6429649
57,0.6778668
58,0.66881573
59,0.66637415
60,0.6524475
61,0.6084994
62,0.614847
63,0.6067781
64,0.6148583
65,0.610765
66,0.6199375
67,0.60487
68,0.6209949
69,0.6320352
70,0.6210829
71,0.62160146
72,0.6259885
73,0.6287563
74,0.6200215
75,0.6132797
76,0.6224034
77,0.62146664
78,0.60727334
79,0.63506216
80,0.6185283
81,0.61792153
82,0.63023645
83,0.6299246
84,0.6374363
85,0.6089794
86,0.6237347
87,0.6290091
88,0.62204665
89,0.60683745
90,0.621428
91,0.6240785
92,0.61211395
93,0.6177313
94,0.62341326
95,0.6225332
96,0.62317646
97,0.62375563
98,0.607644
99,0.62853324
100,0.61470586
101,0.6321609
102,0.6433402
103,0.62242585
104,0.6413755
105,0.61432046
106,0.62908906
107,0.6206098
108,0.6425786
109,0.63961285
110,0.63334775
111,0.62798816
112,0.63177174
113,0.62989736
114,0.6403638
115,0.6227487
116,0.63395756
117,0.63656205
118,0.62927467
119,0.6328607
120,0.64489365
121,0.6100295
122,0.621967
123,0.63322127
124,0.6395053
125,0.6213775
126,0.636888
127,0.61714506
128,0.6224638
129,0.6420227
130,0.64808106
131,0.6348444
132,0.6369698
133,0.6361394
134,0.6466167
135,0.63259894
136,0.6275274
137,0.6162173
138,0.63579184
139,0.6201375
140,0.63467485
141,0.64277846
142,0.6342463
143,0.6321223
144,0.62606364
145,0.6370108
146,0.6205843
147,0.63231516
148,0.63111246
149,0.63866293
150,0.6316271
