,valid_loss
1,1.6024457
2,1.3048683
3,1.3949921
4,1.2083274
5,1.1997825
6,1.350324
7,1.1905897
8,1.2822946
9,1.0431021
10,1.3655287
11,1.0803498
12,1.1739552
13,1.0602334
14,1.0126789
15,1.713732
16,0.9930875
17,1.2874024
18,0.979715
19,0.9471569
20,1.0729647
21,1.772138
22,1.1413178
23,1.1741647
24,1.0519264
25,1.2407857
26,1.1685429
27,1.6000396
28,0.9989222
29,1.0344939
30,0.93120706
31,0.98051846
32,1.1242751
33,1.1979183
34,1.1051261
35,1.138848
36,1.0195149
37,1.194211
38,1.4984808
39,0.96459305
40,1.0956509
41,1.0597988
42,1.0824832
43,1.3433415
44,1.1650891
45,1.1613284
46,1.1685307
47,1.1063676
48,1.1373385
49,1.0729785
50,1.177292
51,1.0818745
52,1.1408955
53,1.3727686
54,1.3458037
55,1.2904756
56,1.148265
57,1.1284618
58,1.1615922
59,1.5757061
60,1.1238911
61,0.931251
62,0.8997499
63,0.8839124
64,0.856655
65,0.84233755
66,0.82601935
67,0.8195417
68,0.8522085
69,0.8278397
70,0.8051837
71,0.8119431
72,0.7989763
73,0.7976051
74,0.8016971
75,0.79061735
76,0.78438175
77,0.7953791
78,0.78946334
79,0.790359
80,0.75858057
81,0.7836327
82,0.75818044
83,0.77628416
84,0.7856386
85,0.76318455
86,0.75822735
87,0.79314876
88,0.76538515
89,0.76166356
90,0.7604327
91,0.7565675
92,0.767198
93,0.7400568
94,0.7550268
95,0.74394256
96,0.7617351
97,0.7601934
98,0.74509823
99,0.7550076
100,0.75750315
101,0.7593047
102,0.7593518
103,0.75879323
104,0.76761985
105,0.74331015
106,0.72838795
107,0.74176294
108,0.7362941
109,0.71948504
110,0.7454279
111,0.73202187
112,0.72460157
113,0.7309763
114,0.7312495
115,0.73838013
116,0.730889
117,0.7360542
118,0.7075762
119,0.7400097
120,0.7272616
121,0.69721353
122,0.7215063
123,0.7180869
124,0.70410806
125,0.7066086
126,0.73120606
127,0.7150823
128,0.70843256
129,0.7027345
130,0.69467306
131,0.7158432
132,0.71190655
133,0.7027823
134,0.7024111
135,0.72330344
136,0.69898456
137,0.7055478
138,0.7106308
139,0.6977312
140,0.70695233
141,0.7139616
142,0.70199984
143,0.7105851
144,0.71932465
145,0.7256119
146,0.70689744
147,0.7131
148,0.7138483
149,0.7018037
150,0.69953
