,valid_loss
1,1.1167792
2,0.9298745
3,0.88172716
4,0.84934837
5,0.7874565
6,0.74334955
7,0.7087689
8,0.7519544
9,0.68701774
10,0.68712133
11,0.6635765
12,0.67271453
13,0.7087545
14,0.6426577
15,0.61738336
16,0.643954
17,0.64587045
18,0.61649984
19,0.6154431
20,0.63497984
21,0.66201997
22,0.6055788
23,0.64087933
24,0.60273933
25,0.6160973
26,0.5939138
27,0.61124253
28,0.6112639
29,0.60122526
30,0.57345515
31,0.59432614
32,0.5929081
33,0.5973623
34,0.5784305
35,0.59090495
36,0.60123354
37,0.627665
38,0.58014256
39,0.59729797
40,0.57687306
41,0.5860167
42,0.5810931
43,0.58338463
44,0.5678005
45,0.57556945
46,0.5765259
47,0.5941015
48,0.60165536
49,0.5907429
50,0.5697107
51,0.5802066
52,0.59304315
53,0.61556077
54,0.5724224
55,0.5778462
56,0.57510656
57,0.575948
58,0.5933751
59,0.58557177
60,0.60517013
61,0.55472094
62,0.5450592
63,0.54946625
64,0.5424297
65,0.554838
66,0.54696584
67,0.54518
68,0.536236
69,0.5456682
70,0.5577365
71,0.5256086
72,0.566029
73,0.55364794
74,0.5537949
75,0.5484358
76,0.5461272
77,0.56043005
78,0.5648568
79,0.5618965
80,0.5574912
81,0.55321705
82,0.55225426
83,0.56452054
84,0.5465056
85,0.56407946
86,0.5560485
87,0.564264
88,0.5425813
89,0.5707965
90,0.5499463
91,0.5585895
92,0.56018734
93,0.56465924
94,0.5640969
95,0.55010784
96,0.56043917
97,0.5459799
98,0.558031
99,0.5751345
100,0.5577851
101,0.56839764
102,0.5636511
103,0.545581
104,0.5454715
105,0.56107795
106,0.5685844
107,0.573677
108,0.56224525
109,0.5663311
110,0.56300884
111,0.55694216
112,0.5622065
113,0.57020587
114,0.56596076
115,0.5918252
116,0.5759181
117,0.56377375
118,0.5791371
119,0.5818642
120,0.56413877
121,0.56201947
122,0.5739813
123,0.56858385
124,0.5551599
125,0.5680812
126,0.5583058
127,0.5619146
128,0.5527609
129,0.58300316
130,0.5755266
131,0.570288
132,0.5738762
133,0.55724573
134,0.5519145
135,0.55845356
136,0.5649214
137,0.5827527
138,0.5565989
139,0.555309
140,0.5696024
141,0.57848734
142,0.5719654
143,0.5680476
144,0.561379
145,0.565843
146,0.56608194
147,0.58342445
148,0.5651297
149,0.56519467
150,0.56479454
