,valid_loss
1,1.5431185
2,1.4014653
3,1.4805306
4,1.4468676
5,1.1285375
6,0.9790689
7,1.1411932
8,0.80330014
9,1.1084046
10,1.2436603
11,0.8354254
12,0.85423243
13,1.0398127
14,0.8318895
15,0.73868406
16,0.68191975
17,0.75863886
18,0.7337627
19,0.76827604
20,0.76764345
21,0.7262086
22,0.74621445
23,0.67884237
24,0.71475536
25,0.9476044
26,0.7147857
27,0.6774494
28,0.6743988
29,0.71954197
30,0.67748445
31,0.6830224
32,0.7170189
33,0.7453692
34,0.83525836
35,0.74265903
36,0.84463996
37,0.7383377
38,0.7186662
39,0.859569
40,0.7123671
41,0.75082535
42,0.66234577
43,0.7370431
44,0.68786234
45,0.6916594
46,0.66151196
47,0.6862765
48,0.6924525
49,0.9878586
50,0.6412944
51,0.9632472
52,0.673491
53,0.7645375
54,0.7318094
55,0.75481397
56,0.7657046
57,0.67470187
58,0.681344
59,0.63739276
60,0.76478875
61,0.55724174
62,0.55593896
63,0.56295687
64,0.5632107
65,0.55906737
66,0.5591629
67,0.56352955
68,0.5707356
69,0.55986655
70,0.5607782
71,0.57538515
72,0.5682414
73,0.56375444
74,0.57645017
75,0.561209
76,0.55684376
77,0.56496435
78,0.56255025
79,0.5831251
80,0.56779236
81,0.5630072
82,0.56350344
83,0.5622786
84,0.572528
85,0.5684046
86,0.57453525
87,0.5581199
88,0.5621294
89,0.5645447
90,0.556672
91,0.5650902
92,0.57718456
93,0.55936754
94,0.56864077
95,0.5784611
96,0.55585146
97,0.5782803
98,0.56880015
99,0.57732093
100,0.5820733
101,0.57746077
102,0.57419574
103,0.5753358
104,0.5687044
105,0.5641971
106,0.5750897
107,0.56311476
108,0.5594648
109,0.56480694
110,0.58690524
111,0.5987297
112,0.574275
113,0.5750037
114,0.5687407
115,0.5643685
116,0.56918657
117,0.58428323
118,0.57138145
119,0.57959867
120,0.5820265
121,0.5669381
122,0.56777465
123,0.5821159
124,0.5603636
125,0.5660121
126,0.56500596
127,0.56502455
128,0.57188046
129,0.5863182
130,0.5797147
131,0.5666533
132,0.57842416
133,0.5814541
134,0.575756
135,0.5804792
136,0.57441455
137,0.5667666
138,0.5849632
139,0.5588013
140,0.5776425
141,0.5683568
142,0.57121617
143,0.58169115
144,0.5655647
145,0.57596564
146,0.57175756
147,0.5592573
148,0.5746215
149,0.5988472
150,0.58031154
