,valid_loss
1,1.19159
2,0.9658151
3,0.93835044
4,0.908899
5,0.8229833
6,0.7620273
7,0.7571832
8,0.7816355
9,0.72621083
10,0.7094084
11,0.68685937
12,0.6799718
13,0.6880582
14,0.6573695
15,0.6843495
16,0.66075647
17,0.65466803
18,0.6417552
19,0.6457377
20,0.6218412
21,0.5937278
22,0.6087259
23,0.60636127
24,0.5868672
25,0.6115189
26,0.63926226
27,0.5921224
28,0.6027019
29,0.6114087
30,0.5931749
31,0.633887
32,0.5976057
33,0.5841588
34,0.5909226
35,0.63220966
36,0.5703048
37,0.56775975
38,0.5821209
39,0.58336055
40,0.57010436
41,0.5929451
42,0.5572129
43,0.59684634
44,0.5856436
45,0.5833317
46,0.5971754
47,0.5704205
48,0.57176894
49,0.5819337
50,0.573451
51,0.5677404
52,0.55833304
53,0.57091796
54,0.5887651
55,0.6057858
56,0.5832366
57,0.5834012
58,0.5618085
59,0.5598798
60,0.57809895
61,0.5534488
62,0.5297019
63,0.54904515
64,0.5347994
65,0.5364994
66,0.5433556
67,0.5368065
68,0.5410416
69,0.52148044
70,0.5432264
71,0.54058105
72,0.54546815
73,0.5331141
74,0.5317073
75,0.5359819
76,0.5465528
77,0.5347965
78,0.5332566
79,0.541305
80,0.5356336
81,0.538982
82,0.54361033
83,0.5531133
84,0.5365567
85,0.5361374
86,0.5397856
87,0.55210865
88,0.53635466
89,0.5599491
90,0.5415027
91,0.5383078
92,0.55657494
93,0.5489983
94,0.53271395
95,0.5466326
96,0.56112295
97,0.553737
98,0.5524426
99,0.5693357
100,0.5300658
101,0.5416651
102,0.5516659
103,0.5486611
104,0.53327614
105,0.54491127
106,0.5470215
107,0.5488297
108,0.5547285
109,0.5366911
110,0.5527657
111,0.54655683
112,0.547057
113,0.56443346
114,0.55645305
115,0.55607194
116,0.567536
117,0.54809475
118,0.57448256
119,0.5390396
120,0.5552351
121,0.54433405
122,0.5512881
123,0.54581344
124,0.55059314
125,0.5413549
126,0.5578003
127,0.54623073
128,0.5541385
129,0.55435306
130,0.55382556
131,0.54080147
132,0.5537297
133,0.5529975
134,0.55616087
135,0.55164635
136,0.5464213
137,0.5452833
138,0.5575101
139,0.56593144
140,0.54351586
141,0.54590416
142,0.575964
143,0.5429804
144,0.56367856
145,0.56387186
146,0.5630957
147,0.5590758
148,0.5500166
149,0.5443756
150,0.55062634
