,valid_loss
1,1.659736
2,1.2350882
3,1.2548087
4,1.1856885
5,1.0916824
6,1.1277972
7,1.0583181
8,0.9794062
9,0.97311497
10,0.9642729
11,1.0432364
12,0.94452167
13,0.89198196
14,0.9974467
15,0.96822715
16,1.0305982
17,0.88411295
18,0.9323514
19,0.9188181
20,0.95811415
21,0.8901762
22,0.8846128
23,0.9225358
24,0.91854095
25,0.8293621
26,0.8879744
27,0.8438999
28,0.8000641
29,0.8562821
30,0.81922907
31,0.85220104
32,0.88499624
33,0.82133484
34,0.8181236
35,0.80838054
36,0.83871686
37,0.8757036
38,0.8237573
39,0.8091564
40,0.9023624
41,0.85337156
42,0.79390967
43,0.831708
44,0.79780555
45,0.7305217
46,0.8321718
47,0.7444099
48,0.8841762
49,0.966281
50,0.8286585
51,0.8221899
52,0.7501945
53,0.7285878
54,0.77188003
55,0.7824319
56,0.76769733
57,0.8197295
58,0.777031
59,0.79011476
60,0.7526076
61,0.61952096
62,0.606125
63,0.6026695
64,0.58958787
65,0.61228305
66,0.5879066
67,0.5989939
68,0.5931398
69,0.57957214
70,0.5846132
71,0.59179586
72,0.5804563
73,0.588993
74,0.58934957
75,0.5883425
76,0.6014605
77,0.5838225
78,0.57630646
79,0.59391785
80,0.58106166
81,0.5819904
82,0.5819105
83,0.58038175
84,0.5869648
85,0.5855477
86,0.5795599
87,0.570441
88,0.5693283
89,0.56487745
90,0.57680607
91,0.58253026
92,0.56446785
93,0.5730884
94,0.5675432
95,0.58381855
96,0.56013745
97,0.57248586
98,0.5817002
99,0.5783885
100,0.56638414
101,0.58398104
102,0.56418955
103,0.5786435
104,0.5692931
105,0.55781525
106,0.5649554
107,0.57471997
108,0.56912524
109,0.5617092
110,0.57302475
111,0.56058836
112,0.5621119
113,0.5683194
114,0.57305807
115,0.56867045
116,0.56756127
117,0.570627
118,0.5718954
119,0.5812439
120,0.55996233
121,0.5565521
122,0.5563093
123,0.5481568
124,0.55517817
125,0.55451655
126,0.5553953
127,0.5589072
128,0.55953574
129,0.55986273
130,0.5730448
131,0.5516524
132,0.5643574
133,0.5514041
134,0.54654837
135,0.5503473
136,0.5499666
137,0.5523963
138,0.5513666
139,0.55612755
140,0.55679
141,0.54704195
142,0.54851073
143,0.5464025
144,0.55589706
145,0.5530693
146,0.55718964
147,0.5458458
148,0.5460679
149,0.5501136
150,0.556317
