,valid_loss
1,1.183471
2,1.0004297
3,0.9264503
4,0.82856023
5,0.7925238
6,0.92483145
7,0.7531061
8,0.6996136
9,0.6872073
10,0.7226863
11,0.6936206
12,0.67488194
13,0.6594338
14,0.6644227
15,0.63769066
16,0.6302119
17,0.6334916
18,0.6208022
19,0.60398954
20,0.60421824
21,0.59213346
22,0.60061294
23,0.61039776
24,0.61666393
25,0.6081524
26,0.60163397
27,0.59864724
28,0.62106544
29,0.5858307
30,0.5859358
31,0.5898604
32,0.591077
33,0.5783846
34,0.6019896
35,0.5968414
36,0.579682
37,0.584574
38,0.592926
39,0.5631797
40,0.59445256
41,0.59452456
42,0.5687034
43,0.5619328
44,0.56954616
45,0.57366884
46,0.58165014
47,0.58134353
48,0.5879364
49,0.56083786
50,0.57263494
51,0.5704422
52,0.58979887
53,0.57737476
54,0.5796393
55,0.5802459
56,0.5892106
57,0.56943065
58,0.5924635
59,0.573513
60,0.59094906
61,0.54352367
62,0.53050494
63,0.5270583
64,0.5196973
65,0.5327522
66,0.5379418
67,0.5264733
68,0.54536885
69,0.53183675
70,0.5471913
71,0.53931767
72,0.54335797
73,0.54277074
74,0.5306551
75,0.5456602
76,0.54715955
77,0.51842564
78,0.53015035
79,0.55085963
80,0.5402556
81,0.5358816
82,0.5548402
83,0.5338052
84,0.5507953
85,0.53554153
86,0.5519726
87,0.5478826
88,0.5463762
89,0.5472495
90,0.56034714
91,0.5422611
92,0.5308316
93,0.54297185
94,0.5398955
95,0.55931896
96,0.54631484
97,0.54817474
98,0.54277325
99,0.55635107
100,0.5425125
101,0.54586244
102,0.562746
103,0.54314804
104,0.5375665
105,0.55942756
106,0.55436856
107,0.53929675
108,0.5418569
109,0.55053985
110,0.5447419
111,0.5605031
112,0.5440046
113,0.55878437
114,0.55151653
115,0.5466976
116,0.5481435
117,0.55626076
118,0.56084013
119,0.5541214
120,0.55033296
121,0.54128516
122,0.5392199
123,0.5471552
124,0.5484504
125,0.54744416
126,0.5375486
127,0.54652935
128,0.5543979
129,0.55092084
130,0.5442955
131,0.55151683
132,0.54690796
133,0.55346835
134,0.5506313
135,0.55852276
136,0.55186415
137,0.55667686
138,0.5539751
139,0.5641473
140,0.5620324
141,0.5471311
142,0.5583628
143,0.5463996
144,0.55395573
145,0.55785686
146,0.5485171
147,0.5515423
148,0.56854427
149,0.54328436
150,0.55632323
