,valid_loss
1,1.3584721
2,1.328526
3,1.2934992
4,1.3048613
5,1.2903748
6,1.3190037
7,1.2858833
8,1.2780684
9,1.2815745
10,1.281102
11,1.2956706
12,1.2651527
13,1.2915386
14,1.269858
15,1.3296547
16,1.2690418
17,1.2696089
18,1.2769542
19,1.247951
20,1.2721187
21,1.2726846
22,1.2682645
23,1.2775965
24,1.2928765
25,1.2622087
26,1.2624779
27,1.2659881
28,1.2517253
29,1.264404
30,1.2580898
31,1.2676145
32,1.2767736
33,1.2553371
34,1.2968526
35,1.2565931
36,1.2796451
37,1.2656397
38,1.2652171
39,1.2565774
40,1.2851883
41,1.2701074
42,1.2707113
43,1.2665411
44,1.2596291
45,1.2813324
46,1.2624569
47,1.2592264
48,1.2519449
49,1.2674758
50,1.2717509
51,1.2603037
52,1.2574564
53,1.2805194
54,1.2661812
55,1.2939143
56,1.29361
57,1.2709066
58,1.2586384
59,1.266594
60,1.2663136
61,1.2607886
62,1.2577622
63,1.2567658
64,1.2552783
65,1.2537389
66,1.2504281
67,1.2559881
68,1.2492199
69,1.2530475
70,1.2569338
71,1.2504694
72,1.2487979
73,1.25393
74,1.2553227
75,1.2505544
76,1.2563237
77,1.251216
78,1.2495043
79,1.249545
80,1.2515085
81,1.2475698
82,1.2529459
83,1.2465007
84,1.251607
85,1.2481205
86,1.2505409
87,1.2466376
88,1.2479156
89,1.2491126
90,1.2473979
91,1.2536454
92,1.2506135
93,1.252099
94,1.2512125
95,1.250907
96,1.2448792
97,1.2443792
98,1.2470405
99,1.2455329
100,1.2495021
