,valid_loss
1,2.287184
2,2.1015077
3,1.7075402
4,1.4254916
5,1.2233635
6,1.0437238
7,0.93377274
8,0.8360969
9,0.7604692
10,0.6971368
11,0.65555376
12,0.6058313
13,0.5810278
14,0.54739517
15,0.52147293
16,0.5025576
17,0.49312782
18,0.479597
19,0.46520764
20,0.4534283
21,0.44576168
22,0.43919542
23,0.43536943
24,0.4023486
25,0.42354292
26,0.39983174
27,0.38993782
28,0.37832224
29,0.37705392
30,0.37681243
31,0.37050614
32,0.36561558
33,0.36348853
34,0.35095075
35,0.34636924
36,0.34263435
37,0.34357855
38,0.34274688
39,0.32973462
40,0.3303143
41,0.32599047
42,0.32160574
43,0.31252167
44,0.31530473
45,0.31960234
46,0.32590738
47,0.3048636
48,0.30990705
49,0.3041114
50,0.3065748
51,0.2964032
52,0.30281845
53,0.28790596
54,0.2856153
55,0.29375187
56,0.29618806
57,0.28497788
58,0.29652968
59,0.28090924
60,0.29037595
61,0.2832561
62,0.2816247
63,0.2811408
64,0.28056967
65,0.27948698
66,0.27839923
67,0.2788007
68,0.27948788
69,0.27851844
70,0.27914846
71,0.27970958
72,0.2793309
73,0.27746484
74,0.27815634
75,0.27889466
76,0.27679256
77,0.27587205
78,0.276433
79,0.2740015
80,0.2754712
81,0.2762099
82,0.27624506
83,0.27462086
84,0.27555448
85,0.2751349
86,0.2738252
87,0.27557358
88,0.2770356
89,0.2777436
90,0.2766935
91,0.27568465
92,0.27390286
93,0.27450392
94,0.27325445
95,0.2735852
96,0.274254
97,0.27255228
98,0.2716474
99,0.27053922
100,0.27042878
