,valid_loss
1,2.299135
2,2.2915778
3,2.2694426
4,2.2086036
5,2.0876968
6,1.9922582
7,1.89332
8,1.7782638
9,1.6718698
10,1.5747905
11,1.4786482
12,1.3945385
13,1.3264169
14,1.2644821
15,1.2043067
16,1.158263
17,1.1186421
18,1.0773166
19,1.0527403
20,1.0222187
21,0.9827978
22,0.957934
23,0.94599956
24,0.919629
25,0.8898128
26,0.87629473
27,0.86248606
28,0.84863657
29,0.82336706
30,0.81393147
31,0.81267786
32,0.7966721
33,0.7917677
34,0.78217614
35,0.7753208
36,0.76204324
37,0.74722356
38,0.7425171
39,0.7347284
40,0.72767824
41,0.72561336
42,0.7210523
43,0.70855373
44,0.7071897
45,0.6998484
46,0.69705725
47,0.6984415
48,0.6850316
49,0.68532753
50,0.6731315
51,0.67952466
52,0.6767235
53,0.66650754
54,0.66045284
55,0.6627106
56,0.6629362
57,0.6495507
58,0.64628303
59,0.6444291
60,0.6456123
61,0.64197224
62,0.6429793
63,0.6400432
64,0.6392979
65,0.63983786
66,0.6392482
67,0.639406
68,0.6398319
69,0.63808084
70,0.63708764
71,0.6365893
72,0.63794464
73,0.63645303
74,0.63605815
75,0.63717467
76,0.6366569
77,0.63885987
78,0.6366363
79,0.63544357
80,0.6352396
81,0.6351378
82,0.63451165
83,0.6350126
84,0.6335894
85,0.6326238
86,0.63527834
87,0.63427263
88,0.6316245
89,0.6298108
90,0.63096225
91,0.6319962
92,0.6312839
93,0.6311075
94,0.6301314
95,0.6306647
96,0.63150454
97,0.62943155
98,0.6268391
99,0.628477
100,0.62744266
