,valid_loss
1,0.7541059
2,0.6641477
3,0.64861923
4,0.61281997
5,0.60413975
6,0.56007826
7,0.5595982
8,0.55359805
9,0.5191872
10,0.5225959
11,0.5171669
12,0.46438304
13,0.52399474
14,0.571702
15,0.51732385
16,0.5401269
17,0.5223221
18,0.55274415
19,0.5784641
20,0.48010764
21,0.487631
22,0.52543014
23,0.50645095
24,0.4784535
25,0.50798166
26,0.49071115
27,0.490951
28,0.5455405
29,0.4747508
30,0.44560933
31,0.48310506
32,0.47759545
33,0.4759259
34,0.44273353
35,0.55340743
36,0.4505823
37,0.54123497
38,0.50955236
39,0.4978268
40,0.4667241
41,0.502163
42,0.5285788
43,0.4083753
44,0.47535884
45,0.45406607
46,0.50272983
47,0.41935274
48,0.43846586
49,0.5062011
50,0.4487804
51,0.43753132
52,0.47078562
53,0.48319927
54,0.4415504
55,0.42916182
56,0.50623995
57,0.47086003
58,0.45541567
59,0.47593206
60,0.43084368
61,0.43846124
62,0.44298208
63,0.45966315
64,0.4399837
65,0.43158725
66,0.46042755
67,0.45382115
68,0.4185988
69,0.4525748
70,0.43763226
71,0.45498204
72,0.44504675
73,0.41306344
74,0.4250588
75,0.47945976
76,0.41141075
77,0.43778673
78,0.4555982
79,0.4529562
80,0.4384993
81,0.45286062
82,0.46874693
83,0.45778745
84,0.46615344
85,0.43417194
86,0.45281437
87,0.41899577
88,0.44983605
89,0.44716105
90,0.46311846
91,0.45920685
92,0.44129547
93,0.48661196
94,0.46040294
95,0.4388911
96,0.43162206
97,0.43209034
98,0.4504551
99,0.4183474
100,0.47784632
