,valid_loss
1,1.2562146
2,0.9327944
3,0.82918316
4,0.74742174
5,0.6878607
6,0.66590494
7,0.60656637
8,0.5774687
9,0.56714624
10,0.56797713
11,0.5391515
12,0.50500786
13,0.49395877
14,0.50917995
15,0.47800276
16,0.4771136
17,0.4611814
18,0.4747282
19,0.45898175
20,0.47331274
21,0.4494581
22,0.4446075
23,0.45750266
24,0.4243985
25,0.44103426
26,0.42362043
27,0.42619234
28,0.41040078
29,0.4160836
30,0.4100277
31,0.40524465
32,0.39860776
33,0.41965735
34,0.38932362
35,0.40976045
36,0.40340894
37,0.39866734
38,0.3806709
39,0.4036891
40,0.39609176
41,0.39245108
42,0.38020837
43,0.3702054
44,0.37952262
45,0.3818765
46,0.39143068
47,0.37152693
48,0.38502058
49,0.3749567
50,0.37362227
51,0.3739331
52,0.38064858
53,0.3708578
54,0.36571407
55,0.35819852
56,0.36893374
57,0.37176177
58,0.36807624
59,0.36409178
60,0.38286057
61,0.35032755
62,0.35152093
63,0.34964645
64,0.34321117
65,0.33534795
66,0.35499048
67,0.34853822
68,0.35079038
69,0.32455707
70,0.3549364
71,0.34586358
72,0.35601068
73,0.3452948
74,0.3279509
75,0.33070114
76,0.34614354
77,0.35229683
78,0.3387119
79,0.3543206
80,0.35324833
81,0.34537402
82,0.3437359
83,0.33924997
84,0.3294549
85,0.33310091
86,0.3314588
87,0.3373522
88,0.33102375
89,0.32094303
90,0.3417807
91,0.331453
92,0.3289973
93,0.3176895
94,0.3377673
95,0.34599945
96,0.33841458
97,0.34488842
98,0.3305002
99,0.32927942
100,0.33349702
