,valid_loss
1,0.9081101
2,0.6943011
3,0.58211714
4,0.55100244
5,0.5104574
6,0.5492994
7,0.511122
8,0.4501422
9,0.44291273
10,0.43766183
11,0.4648039
12,0.44185287
13,0.42407745
14,0.42517263
15,0.43902853
16,0.41919595
17,0.42845523
18,0.42568934
19,0.40732807
20,0.38946486
21,0.42066908
22,0.38906133
23,0.38013515
24,0.38080904
25,0.3797143
26,0.37673143
27,0.3766306
28,0.38640785
29,0.38465104
30,0.36459023
31,0.3699438
32,0.37747413
33,0.38210878
34,0.3874426
35,0.36486104
36,0.37150866
37,0.37894958
38,0.34733236
39,0.3630784
40,0.35715753
41,0.34469545
42,0.3453807
43,0.35414305
44,0.3725288
45,0.36792004
46,0.3418478
47,0.3571403
48,0.35952583
49,0.36097625
50,0.35639057
51,0.34983677
52,0.35807312
53,0.34458795
54,0.33390623
55,0.36004975
56,0.3487357
57,0.34465432
58,0.32373843
59,0.34555334
60,0.34408692
61,0.32529548
62,0.3254604
63,0.31795153
64,0.33561143
65,0.31028447
66,0.31969088
67,0.31954777
68,0.32651132
69,0.30628103
70,0.30842543
71,0.303113
72,0.3098133
73,0.29432607
74,0.3067604
75,0.30188686
76,0.31134105
77,0.29658622
78,0.29257444
79,0.3176401
80,0.2934804
81,0.30418685
82,0.29331183
83,0.30473524
84,0.29260346
85,0.2999074
86,0.31073138
87,0.29935983
88,0.3227468
89,0.3048582
90,0.29115003
91,0.29528594
92,0.3293255
93,0.28953302
94,0.3022096
95,0.30588377
96,0.2957506
97,0.29695955
98,0.3052767
99,0.2836838
100,0.27458167
