,valid_loss
1,1.6730927
2,1.2601075
3,1.0680159
4,0.9514361
5,0.80378217
6,0.76637435
7,0.70283693
8,0.6584735
9,0.6694563
10,0.63646275
11,0.5914154
12,0.5888538
13,0.56134576
14,0.52788997
15,0.53268576
16,0.49713686
17,0.5104034
18,0.5199412
19,0.51007885
20,0.4856681
21,0.48505872
22,0.4694471
23,0.44615936
24,0.4543262
25,0.4364649
26,0.44799575
27,0.4253799
28,0.42793977
29,0.43130115
30,0.43369898
31,0.4134347
32,0.40991232
33,0.42544863
34,0.40742835
35,0.4360691
36,0.4059689
37,0.43505645
38,0.38546574
39,0.3968612
40,0.39186457
41,0.3770532
42,0.38415423
43,0.36445245
44,0.39487347
45,0.38868466
46,0.385847
47,0.38694435
48,0.3870053
49,0.36614537
50,0.36547828
51,0.36910954
52,0.36380512
53,0.37606022
54,0.37164453
55,0.3639362
56,0.36799353
57,0.37740636
58,0.36098683
59,0.36945435
60,0.37828603
61,0.3527051
62,0.33614555
63,0.35144657
64,0.34463185
65,0.33860254
66,0.34137082
67,0.33407953
68,0.34468216
69,0.3490039
70,0.33896545
71,0.34200695
72,0.34702244
73,0.3645194
74,0.33717948
75,0.3465346
76,0.35186046
77,0.33858964
78,0.34810936
79,0.33855405
80,0.34550104
81,0.331648
82,0.32842132
83,0.33999595
84,0.3312172
85,0.34309444
86,0.3337021
87,0.33768645
88,0.33050963
89,0.34006274
90,0.33130208
91,0.3513501
92,0.33402765
93,0.32753846
94,0.3313449
95,0.33222625
96,0.31825748
97,0.33508822
98,0.32650307
99,0.3353345
100,0.3476731
