,valid_loss
1,0.7400218
2,0.74230266
3,0.61039305
4,0.50310385
5,0.57280093
6,0.47396716
7,0.56040037
8,0.5042318
9,0.443028
10,0.4833771
11,0.46082363
12,0.48055932
13,0.42625886
14,0.49817273
15,0.5063803
16,0.46686283
17,0.455986
18,0.4855807
19,0.4522526
20,0.45821044
21,0.4641936
22,0.44654116
23,0.46051544
24,0.5167239
25,0.47497067
26,0.40240532
27,0.3906276
28,0.46044394
29,0.4836289
30,0.39581755
31,0.46531725
32,0.43675914
33,0.38215154
34,0.41612637
35,0.43162525
36,0.46820015
37,0.3933463
38,0.4286298
39,0.43445596
40,0.4101489
41,0.43199554
42,0.44067457
43,0.451389
44,0.42297018
45,0.40624657
46,0.44990155
47,0.45774898
48,0.39611316
49,0.38558906
50,0.4312147
51,0.43472016
52,0.477245
53,0.41219687
54,0.456458
55,0.38091013
56,0.38387626
57,0.43183255
58,0.40421832
59,0.36068028
60,0.33981338
61,0.38986728
62,0.36788633
63,0.40915376
64,0.38159508
65,0.38779035
66,0.40004477
67,0.37020585
68,0.4130033
69,0.39801043
70,0.38063344
71,0.38611242
72,0.39273605
73,0.38725823
74,0.3983699
75,0.40161446
76,0.38471112
77,0.37428117
78,0.40974283
79,0.38323548
80,0.37763092
81,0.37746057
82,0.40169898
83,0.3936278
84,0.37805885
85,0.39687034
86,0.3967403
87,0.41146445
88,0.3888836
89,0.3869514
90,0.39831454
91,0.40385777
92,0.39911187
93,0.37235415
94,0.37992188
95,0.3856726
96,0.39036506
97,0.38930452
98,0.3814925
99,0.37774202
100,0.38928813
