,valid_loss
1,1.2574028
2,0.9658056
3,0.83868945
4,0.73545575
5,0.6929761
6,0.64475274
7,0.58800477
8,0.5607463
9,0.5540405
10,0.5810049
11,0.5442972
12,0.53002644
13,0.49163097
14,0.4883803
15,0.48228386
16,0.45609942
17,0.46531335
18,0.4608159
19,0.46929267
20,0.44877753
21,0.44323364
22,0.4303372
23,0.41090912
24,0.42802688
25,0.40040988
26,0.42147055
27,0.45720634
28,0.40005445
29,0.39860934
30,0.4021688
31,0.40080065
32,0.3690627
33,0.37192395
34,0.40272036
35,0.37759852
36,0.3652348
37,0.38177785
38,0.3834102
39,0.36796546
40,0.38018787
41,0.37565646
42,0.39050093
43,0.37787086
44,0.37340993
45,0.36370862
46,0.36042735
47,0.36930892
48,0.36516482
49,0.378383
50,0.37638262
51,0.36010668
52,0.35928115
53,0.36958593
54,0.34599254
55,0.36294368
56,0.3578767
57,0.3358249
58,0.34648478
59,0.36709714
60,0.35560617
61,0.3334179
62,0.33565608
63,0.33425972
64,0.33282822
65,0.33299428
66,0.33731544
67,0.3379497
68,0.32527155
69,0.33005622
70,0.33547667
71,0.33552915
72,0.32876948
73,0.3120993
74,0.31502622
75,0.31933036
76,0.31072158
77,0.32555157
78,0.3357045
79,0.3287065
80,0.31750152
81,0.33007652
82,0.31583604
83,0.32562408
84,0.31388986
85,0.3089988
86,0.3157098
87,0.30408174
88,0.32389164
89,0.3134822
90,0.30476218
91,0.32144856
92,0.333635
93,0.31615943
94,0.3119619
95,0.30119705
96,0.3139354
97,0.31645846
98,0.31067097
99,0.31613836
100,0.31009576
