,valid_loss
1,0.86807615
2,0.6856712
3,0.64149296
4,0.59941554
5,0.54783064
6,0.55693734
7,0.50439036
8,0.4947758
9,0.52457726
10,0.46347797
11,0.44401118
12,0.45120192
13,0.46471703
14,0.44777253
15,0.46054876
16,0.4303774
17,0.46575353
18,0.43326443
19,0.41592264
20,0.42159927
21,0.4356022
22,0.44346926
23,0.4070138
24,0.4076345
25,0.38495305
26,0.4190752
27,0.3948406
28,0.4412542
29,0.42329532
30,0.4291565
31,0.4120995
32,0.3933613
33,0.4002219
34,0.3823943
35,0.39963484
36,0.41884628
37,0.4078921
38,0.40617147
39,0.4075057
40,0.3796858
41,0.38618043
42,0.37251982
43,0.4070832
44,0.34782067
45,0.3637635
46,0.3814269
47,0.37630504
48,0.38086435
49,0.39551255
50,0.3856146
51,0.36456168
52,0.3600882
53,0.36291167
54,0.3845035
55,0.3618837
56,0.3689716
57,0.35602346
58,0.37111387
59,0.36920863
60,0.34245533
61,0.3588338
62,0.34923145
63,0.35327986
64,0.34810975
65,0.35231093
66,0.33205244
67,0.35649318
68,0.32028237
69,0.3385577
70,0.32540053
71,0.33075842
72,0.34317684
73,0.3315368
74,0.33654818
75,0.3383406
76,0.33606613
77,0.3354625
78,0.3334558
79,0.33133385
80,0.3280543
81,0.32832393
82,0.3429799
83,0.31687194
84,0.32214534
85,0.34250328
86,0.33767307
87,0.34458715
88,0.34135252
89,0.3519887
90,0.3350481
91,0.3170953
92,0.31346038
93,0.31879598
94,0.33277655
95,0.3229592
96,0.31067866
97,0.325393
98,0.34101045
99,0.34060186
100,0.33200866
