,valid_loss
1,1.2299293
2,0.8886831
3,0.88827145
4,0.6920054
5,0.7543508
6,0.626955
7,0.6921287
8,0.57946825
9,0.54081714
10,0.5537101
11,0.51517564
12,0.48342904
13,0.45215243
14,0.4451366
15,0.51067764
16,0.4216408
17,0.47458744
18,0.41987297
19,0.45756438
20,0.41716495
21,0.41051328
22,0.38836592
23,0.3867513
24,0.39558768
25,0.38979787
26,0.4185534
27,0.3895848
28,0.40276995
29,0.37768248
30,0.43301904
31,0.3758105
32,0.378505
33,0.38072944
34,0.38207483
35,0.38248459
36,0.3791648
37,0.3768446
38,0.384974
39,0.3940699
40,0.38039157
41,0.40014845
42,0.37595326
43,0.386447
44,0.39072537
45,0.38649505
46,0.40432072
47,0.39885235
48,0.3987103
49,0.376295
50,0.3909192
51,0.3907375
52,0.37631038
53,0.37717274
54,0.39670223
55,0.42872328
56,0.3892149
57,0.41774872
58,0.39075422
59,0.37760434
60,0.4061357
61,0.41869798
62,0.4134165
63,0.44070324
64,0.42016786
65,0.45667472
66,0.4399846
67,0.42601573
68,0.42594513
69,0.49214387
70,0.40580848
71,0.4650289
72,0.4427126
73,0.4709147
74,0.43482742
75,0.44204846
76,0.42712736
77,0.44241267
78,0.41197395
79,0.43875462
80,0.43162298
81,0.4240521
82,0.43789852
83,0.43355983
84,0.44358414
85,0.49751368
86,0.43967393
87,0.43447194
88,0.44094995
89,0.45515165
90,0.4661954
91,0.4414681
92,0.43446082
93,0.44996545
94,0.44659403
95,0.46298048
96,0.4335263
97,0.46362007
98,0.46664083
99,0.42794687
100,0.44469115
101,0.4571487
102,0.42861453
103,0.49040294
104,0.45237258
105,0.4657423
106,0.44878545
107,0.4563959
108,0.47716758
109,0.49501896
110,0.45512217
111,0.4659316
112,0.49589205
113,0.47035283
114,0.50845915
115,0.49394763
116,0.4359596
117,0.46481156
118,0.46778482
119,0.46458805
120,0.45679197
121,0.45798552
122,0.45283204
123,0.4655162
124,0.48150024
125,0.452489
126,0.4567178
127,0.4822862
128,0.49820527
129,0.46580285
130,0.47796887
131,0.49841517
132,0.45610076
133,0.5160467
134,0.47603905
135,0.47767672
136,0.48820466
137,0.4507997
138,0.4712529
139,0.48171693
140,0.4957453
141,0.48824582
142,0.46351442
143,0.46246186
144,0.49317348
145,0.5088534
146,0.4800684
147,0.47536895
148,0.4859815
149,0.47297043
150,0.5006849
151,0.45032203
152,0.45106453
153,0.42794985
154,0.4523731
155,0.46664393
156,0.43698052
157,0.4542189
158,0.47349018
159,0.4563521
160,0.4743585
161,0.48000717
162,0.47006273
163,0.46149716
164,0.46593365
165,0.4661664
166,0.49844223
167,0.5001316
168,0.49319142
169,0.50745404
170,0.4882672
171,0.47142953
172,0.49394742
173,0.5085972
174,0.49175432
175,0.5017893
176,0.51718557
177,0.50559425
178,0.49170926
179,0.50742745
180,0.51449025
181,0.52998996
182,0.5262764
183,0.49407396
184,0.5140593
185,0.52171963
186,0.52568525
187,0.5332735
188,0.52631855
189,0.51052123
190,0.51919657
191,0.52282983
192,0.52743447
193,0.5449858
194,0.53135425
195,0.5450906
196,0.5713955
197,0.5461501
198,0.54334444
199,0.5433282
200,0.5716877
201,0.55884415
202,0.55261415
203,0.5536741
204,0.5595872
205,0.5549091
206,0.55891645
207,0.55121183
208,0.5737513
209,0.56642497
210,0.55029744
211,0.54820824
212,0.5408104
213,0.59152514
214,0.5892594
215,0.5677294
216,0.5777474
217,0.56808245
218,0.5690359
219,0.54381967
220,0.58116275
221,0.59154904
222,0.5563193
223,0.56380844
224,0.5381423
225,0.58331746
226,0.5681669
227,0.5724822
228,0.5533904
229,0.57606506
230,0.5841627
231,0.5841771
232,0.5830118
233,0.5602331
234,0.55469275
235,0.5878969
236,0.58074814
237,0.5852779
238,0.56641
239,0.57767665
240,0.5669898
241,0.5860425
242,0.57247955
243,0.5853283
244,0.57814825
245,0.5688573
246,0.5847029
247,0.5869199
248,0.58013403
249,0.60150516
250,0.5739313
251,0.5801374
252,0.5879822
253,0.5823492
254,0.5846008
255,0.55498517
256,0.5821292
257,0.5606681
258,0.5949614
259,0.5800186
260,0.55940866
261,0.56764394
262,0.56891054
263,0.57093626
264,0.57601374
265,0.5640077
266,0.5754981
267,0.5871269
268,0.5657301
269,0.58497083
270,0.5699241
271,0.6021242
272,0.5792063
273,0.57935524
274,0.59657377
275,0.58183175
276,0.5737007
277,0.55188394
278,0.59917694
279,0.5711314
280,0.57125866
281,0.55695486
282,0.5768344
283,0.5777727
284,0.58617526
285,0.5818015
286,0.5913895
287,0.5605566
288,0.5817407
289,0.5789074
290,0.5783614
291,0.5712519
292,0.60060835
293,0.5982496
294,0.5842406
295,0.56848377
296,0.5811436
297,0.5812543
298,0.58460516
299,0.582252
300,0.5923075
