,valid_loss
1,3.087373
2,1.5595125
3,1.3597382
4,1.3705156
5,1.1395808
6,0.79363745
7,1.891441
8,1.0768269
9,0.85380167
10,0.9423121
11,0.6346316
12,0.5478042
13,0.5986922
14,0.7251576
15,0.67136943
16,0.7818004
17,0.47712442
18,0.8107102
19,0.53127986
20,0.46316913
21,0.83144593
22,1.0104247
23,0.82345474
24,0.491767
25,0.5866931
26,0.60033095
27,0.5264416
28,0.5227856
29,0.435605
30,0.5623159
31,0.6903153
32,0.48591238
33,0.43416667
34,0.7124051
35,0.7381804
36,0.52354
37,0.75101817
38,0.46191695
39,0.685998
40,0.5641943
41,0.6910695
42,0.5476143
43,0.5152347
44,0.47067252
45,0.4597498
46,0.5405389
47,0.43363738
48,0.82196707
49,0.91743994
50,0.48232675
51,0.51131713
52,0.44503626
53,0.45936865
54,0.4527346
55,0.5698398
56,0.92267156
57,0.4800898
58,0.6171771
59,0.64926106
60,0.4745021
61,0.529052
62,0.48912498
63,0.58024323
64,0.8063491
65,0.4655288
66,0.48407686
67,0.49436107
68,0.8724116
69,0.6685616
70,0.50194126
71,0.47824946
72,0.51235956
73,0.51090825
74,0.46365997
75,0.559164
76,0.56363463
77,0.54523885
78,0.94427454
79,0.57891464
80,0.47156224
81,0.5114736
82,0.4999763
83,0.5472577
84,0.5254156
85,0.5891951
86,0.5536557
87,0.4998214
88,0.5058731
89,0.48730606
90,0.76527596
91,0.57596123
92,0.4825098
93,0.55848247
94,0.5266969
95,0.66876304
96,0.5393381
97,0.58311963
98,0.51230544
99,0.5076505
100,0.514908
101,0.6140604
102,0.51739234
103,0.54187727
104,0.60177743
105,0.51293695
106,0.51889056
107,0.5377617
108,0.4975522
109,0.55289805
110,0.53047633
111,0.6278429
112,0.5711508
113,0.6383235
114,0.5308326
115,0.5372573
116,0.5805555
117,0.5519142
118,0.5904252
119,0.9318687
120,0.57838523
121,0.55759513
122,0.4949722
123,0.60097486
124,0.58733654
125,0.5812489
126,0.66666895
127,0.56224203
128,0.58999187
129,0.55682534
130,0.5497642
131,0.5505579
132,0.8777935
133,0.57313603
134,0.5362024
135,0.5478809
136,0.52762735
137,0.6111389
138,0.9864625
139,0.62020874
140,0.586872
141,0.6634424
142,0.5808514
143,0.5574687
144,0.6751218
145,0.58563703
146,0.59910697
147,0.55883163
148,0.5602177
149,0.7349071
150,0.60883343
151,0.5491167
152,0.5304401
153,0.5379284
154,0.52701133
155,0.5352221
156,0.5457461
157,0.5295819
158,0.550391
159,0.53632337
160,0.5444167
161,0.5321755
162,0.54603285
163,0.5190949
164,0.5379914
165,0.5480665
166,0.5426468
167,0.5426062
168,0.5417884
169,0.5609659
170,0.54460084
171,0.5783212
172,0.55756897
173,0.5607399
174,0.57365364
175,0.55206275
176,0.55735236
177,0.5503153
178,0.5491291
179,0.55608076
180,0.54749835
181,0.57016474
182,0.55090815
183,0.5547809
184,0.5578846
185,0.5591199
186,0.55963635
187,0.5582916
188,0.5413877
189,0.56949306
190,0.56857514
191,0.57680213
192,0.5608491
193,0.5898717
194,0.56302565
195,0.5733508
196,0.59476507
197,0.5726286
198,0.57860017
199,0.5624064
200,0.5729591
201,0.5650445
202,0.5672337
203,0.5749423
204,0.5763075
205,0.5839361
206,0.59666306
207,0.57796824
208,0.58908105
209,0.5672849
210,0.5873353
211,0.5956309
212,0.5767181
213,0.5669939
214,0.5863384
215,0.5777115
216,0.58243686
217,0.60329413
218,0.5901007
219,0.5994611
220,0.5758335
221,0.60740316
222,0.5818071
223,0.5782883
224,0.58179843
225,0.6172721
226,0.606627
227,0.60412425
228,0.5893483
229,0.6018823
230,0.57783145
231,0.58703417
232,0.61022866
233,0.593483
234,0.6079833
235,0.56428075
236,0.596384
237,0.571742
238,0.6074212
239,0.5732851
240,0.58806556
241,0.60702175
242,0.56808776
243,0.57486486
244,0.5707485
245,0.5930401
246,0.57740325
247,0.582762
248,0.5723584
249,0.57691014
250,0.5819465
251,0.6047169
252,0.59658194
253,0.59717906
254,0.59674793
255,0.5848255
256,0.57838786
257,0.59942997
258,0.59928536
259,0.59271914
260,0.5832643
261,0.601442
262,0.57513094
263,0.5952212
264,0.57192564
265,0.59123886
266,0.59905946
267,0.5920538
268,0.57263607
269,0.5847423
270,0.6134799
271,0.58267576
272,0.6004373
273,0.5953102
274,0.5759425
275,0.58309424
276,0.58283913
277,0.60259306
278,0.6053023
279,0.6086986
280,0.5988305
281,0.57734895
282,0.5884803
283,0.5834263
284,0.5780797
285,0.58490384
286,0.56004375
287,0.60068727
288,0.5915222
289,0.5884702
290,0.59505767
291,0.60402095
292,0.6156988
293,0.60581803
294,0.6008625
295,0.57517624
296,0.59950435
297,0.57730955
298,0.61587197
299,0.616647
300,0.5921425
