,valid_loss
1,1.7019179
2,1.4220589
3,1.2490779
4,1.0709193
5,0.90038425
6,0.7985266
7,0.7109411
8,0.7134523
9,0.7373105
10,0.5846446
11,0.57883286
12,0.61299604
13,0.5439926
14,0.5194118
15,0.5440396
16,0.5691045
17,0.503395
18,0.4867274
19,0.47606885
20,0.4668856
21,0.47232276
22,0.46396297
23,0.44477284
24,0.43074146
25,0.48993593
26,0.44162378
27,0.4714768
28,0.43209425
29,0.40302426
30,0.44207814
31,0.42005837
32,0.4234192
33,0.42806402
34,0.45742443
35,0.40203893
36,0.4750733
37,0.4462594
38,0.4211298
39,0.41954195
40,0.4220571
41,0.4317769
42,0.42735896
43,0.42962292
44,0.43078512
45,0.47321314
46,0.44836155
47,0.41115248
48,0.44901395
49,0.42671546
50,0.45521086
51,0.453505
52,0.41706225
53,0.44215396
54,0.4472616
55,0.4878805
56,0.40859056
57,0.46591872
58,0.4535522
59,0.42594326
60,0.4644769
61,0.44634128
62,0.43591723
63,0.52008975
64,0.47501013
65,0.44867808
66,0.48005137
67,0.4441698
68,0.4591494
69,0.46869627
70,0.47534013
71,0.44964218
72,0.43121305
73,0.47258493
74,0.49381968
75,0.47076264
76,0.46407884
77,0.44779965
78,0.44356382
79,0.46177292
80,0.46026087
81,0.5084251
82,0.4720805
83,0.5421347
84,0.47790286
85,0.54102325
86,0.5031862
87,0.5018208
88,0.5208883
89,0.5072079
90,0.5025575
91,0.49118057
92,0.53615195
93,0.5412535
94,0.51800805
95,0.5215486
96,0.48457226
97,0.49009207
98,0.5152559
99,0.49185345
100,0.5217834
101,0.5725171
102,0.514106
103,0.51308155
104,0.5300849
105,0.54005384
106,0.5203715
107,0.5692781
108,0.51978904
109,0.51179636
110,0.5500307
111,0.55435914
112,0.51872814
113,0.5239595
114,0.54842985
115,0.52683455
116,0.51996803
117,0.5279041
118,0.5542034
119,0.491753
120,0.5861377
121,0.54613596
122,0.5839989
123,0.5431426
124,0.5529618
125,0.5584871
126,0.5943347
127,0.54656076
128,0.53794533
129,0.54994744
130,0.559489
131,0.58091146
132,0.56930256
133,0.563476
134,0.542178
135,0.58407044
136,0.5748547
137,0.55686176
138,0.56447357
139,0.59430647
140,0.5929166
141,0.54526544
142,0.577221
143,0.59925616
144,0.5860661
145,0.5702723
146,0.56676817
147,0.5900383
148,0.5579864
149,0.565581
150,0.5925275
151,0.55176514
152,0.5493386
153,0.5453889
154,0.5492297
155,0.5420053
156,0.54029197
157,0.55276096
158,0.5693882
159,0.5523202
160,0.57874185
161,0.58526075
162,0.56361145
163,0.58706826
164,0.5644049
165,0.57204163
166,0.5588922
167,0.57902205
168,0.5739447
169,0.5591367
170,0.5718207
171,0.5808995
172,0.58803415
173,0.5731641
174,0.59761906
175,0.58054435
176,0.5835477
177,0.60007364
178,0.59699196
179,0.59415406
180,0.58014804
181,0.5865562
182,0.5878433
183,0.5771877
184,0.5934259
185,0.606096
186,0.58912367
187,0.5827365
188,0.6230905
189,0.6051623
190,0.571585
191,0.6052017
192,0.5935885
193,0.5941304
194,0.61055917
195,0.60684866
196,0.5995481
197,0.6128575
198,0.62530196
199,0.61747205
200,0.60660756
201,0.606931
202,0.6214764
203,0.6141976
204,0.6192099
205,0.60255426
206,0.60842735
207,0.61375743
208,0.6036814
209,0.6290641
210,0.6243382
211,0.6192368
212,0.6448499
213,0.6147616
214,0.6348395
215,0.6250786
216,0.64098144
217,0.6343105
218,0.63241595
219,0.6241995
220,0.6101457
221,0.6241882
222,0.60551965
223,0.62504065
224,0.6270854
225,0.6409047
226,0.6301302
227,0.6433172
228,0.6341187
229,0.6165201
230,0.6332911
231,0.6125679
232,0.6258334
233,0.60950685
234,0.6339343
235,0.6237665
236,0.62477326
237,0.62367946
238,0.635966
239,0.62497413
240,0.63536465
241,0.6123323
242,0.64038205
243,0.60838675
244,0.63264585
245,0.6355298
246,0.62381655
247,0.6017866
248,0.63919204
249,0.61640304
250,0.6310508
251,0.64368063
252,0.6183861
253,0.625053
254,0.6414314
255,0.61864656
256,0.63925403
257,0.61969566
258,0.64212596
259,0.6246744
260,0.63816446
261,0.62227744
262,0.6146713
263,0.6508511
264,0.6192089
265,0.6264694
266,0.6317983
267,0.6344756
268,0.60912716
269,0.6067312
270,0.6187114
271,0.63686264
272,0.6381856
273,0.64107984
274,0.6444895
275,0.63112515
276,0.63472444
277,0.6078625
278,0.6304057
279,0.6381067
280,0.64675754
281,0.62822604
282,0.6323801
283,0.6272699
284,0.63881785
285,0.641732
286,0.6531726
287,0.61605203
288,0.6153714
289,0.64539796
290,0.60215193
291,0.6220394
292,0.63779664
293,0.6010585
294,0.6460478
295,0.6122196
296,0.6266947
297,0.6251592
298,0.6314148
299,0.66657245
300,0.64060163
