,valid_loss
1,1.9562947
2,3.2944615
3,1.6165719
4,0.8953828
5,0.77676606
6,0.61316246
7,0.6182103
8,0.71838105
9,0.61273605
10,0.56958455
11,0.8376343
12,0.57703036
13,0.5545392
14,0.55504435
15,2.8904784
16,0.96256834
17,0.5703608
18,0.510505
19,0.62533545
20,0.55124635
21,0.46252617
22,0.4223517
23,0.43210885
24,0.6271664
25,0.47053504
26,0.46887696
27,0.69191885
28,0.46004313
29,0.39673224
30,0.53818923
31,0.52724284
32,0.6995086
33,0.54515475
34,0.49665835
35,0.5150503
36,0.51848185
37,0.4849825
38,0.41163638
39,0.43255004
40,0.43135092
41,0.596139
42,0.38805714
43,0.48723933
44,0.4257868
45,0.4261838
46,0.4423707
47,0.7828579
48,0.44980407
49,0.4602704
50,0.4271714
51,0.49284995
52,0.52351546
53,0.50961787
54,0.5857627
55,0.42293274
56,0.93516773
57,0.74120486
58,0.6726545
59,0.42317837
60,0.5128666
61,0.5682886
62,0.4425915
63,0.43916157
64,0.41484487
65,0.43620846
66,0.45610705
67,0.61247313
68,0.4082927
69,0.46695995
70,0.45048553
71,0.4419892
72,0.63441837
73,0.48143548
74,0.4377751
75,0.49591157
76,0.471771
77,0.5281853
78,0.52125657
79,0.44843522
80,0.5082673
81,0.4961392
82,0.50339
83,0.47481698
84,0.850108
85,0.49035567
86,0.53928417
87,0.46997473
88,2.227222
89,0.47546488
90,0.5961701
91,0.468359
92,0.6051918
93,0.48603556
94,1.7862906
95,0.48476335
96,0.74049914
97,0.48351473
98,0.51631904
99,0.45950723
100,0.47247547
101,0.48027325
102,0.57807595
103,0.49270052
104,1.1403909
105,0.50522727
106,0.49009788
107,0.48816106
108,0.513671
109,0.5568001
110,0.50818294
111,0.6550379
112,0.49123573
113,0.5314946
114,0.53477085
115,0.52353656
116,0.49536043
117,0.53080314
118,0.48322466
119,0.5422883
120,0.599925
121,0.52321684
122,0.9030396
123,0.6061569
124,0.48610458
125,0.63947874
126,0.59902483
127,0.5091843
128,0.5916719
129,0.5078538
130,0.502709
131,0.4884809
132,0.5056143
133,0.49190754
134,0.5269985
135,0.49928346
136,0.564484
137,0.5201998
138,0.69948834
139,0.53303397
140,0.5096425
141,0.6873138
142,0.5228957
143,0.53687614
144,0.6102992
145,0.49207196
146,0.5215997
147,0.52204037
148,0.50082237
149,0.5673746
150,0.6946691
151,0.5160025
152,0.4745874
153,0.46305108
154,0.48965976
155,0.48245066
156,0.4773307
157,0.4716797
158,0.485229
159,0.4627714
160,0.46636495
161,0.47164127
162,0.48413366
163,0.48576912
164,0.47828904
165,0.49119496
166,0.48666468
167,0.49583045
168,0.48045185
169,0.49166873
170,0.49591777
171,0.48818323
172,0.48224652
173,0.48198238
174,0.4731138
175,0.47753996
176,0.48339778
177,0.4967846
178,0.46068427
179,0.49593228
180,0.51240426
181,0.486723
182,0.48234493
183,0.49370673
184,0.49341223
185,0.50961524
186,0.48227832
187,0.50105846
188,0.47303295
189,0.49546957
190,0.5044267
191,0.5023864
192,0.49085683
193,0.50015366
194,0.47901297
195,0.4926691
196,0.5007767
197,0.4741697
198,0.5114976
199,0.5059817
200,0.50098157
201,0.5032162
202,0.49926803
203,0.5124208
204,0.50762707
205,0.5155295
206,0.49921143
207,0.50762075
208,0.4827963
209,0.51133174
210,0.5124978
211,0.5176586
212,0.4838531
213,0.5065082
214,0.5131334
215,0.5197246
216,0.5012403
217,0.50229186
218,0.5093591
219,0.5156346
220,0.49954027
221,0.5216777
222,0.5189322
223,0.5025399
224,0.49797237
225,0.50936216
226,0.5129603
227,0.5282084
228,0.5036046
229,0.52379864
230,0.5096584
231,0.49665374
232,0.5105001
233,0.4955031
234,0.49246758
235,0.52679175
236,0.5064766
237,0.50834936
238,0.5134243
239,0.5112933
240,0.51069367
241,0.49917385
242,0.50244564
243,0.51354593
244,0.51151246
245,0.47912508
246,0.51545787
247,0.5075826
248,0.5096943
249,0.51762706
250,0.5296389
251,0.5111668
252,0.51743424
253,0.5057438
254,0.51776516
255,0.51732296
256,0.5139838
257,0.50197184
258,0.5077664
259,0.5170084
260,0.5115701
261,0.5144886
262,0.5015272
263,0.52530766
264,0.5060508
265,0.51706004
266,0.5001767
267,0.5062588
268,0.52162236
269,0.49988392
270,0.52674454
271,0.5298428
272,0.5028883
273,0.53417397
274,0.5139427
275,0.50983214
276,0.51373553
277,0.52599037
278,0.52024066
279,0.5196105
280,0.5185817
281,0.51942074
282,0.5201495
283,0.52597404
284,0.4972812
285,0.5055506
286,0.52494687
287,0.49884003
288,0.50917935
289,0.5094656
290,0.488238
291,0.5129606
292,0.51759005
293,0.5071352
294,0.5165173
295,0.53391635
296,0.50986046
297,0.52887434
298,0.5073135
299,0.50446403
300,0.49111384
